Var1,costAll
Anteroinferior,-1.86145953481758
Anterosuperior,-1.17423681111184
Posteroinferior,-2.79122473722163
Posterosuperior,-2.81894032156511
TotalAnterior,5.11359579430454
TotalInferior,-2.73318306271548
TotalPosterior,-5.44469010742637
TotalSuperior,-2.79058157871589
