modelName,LVS,TRP1,TRP2,TRP3,TRP4,RMN,RMJ1,RMJ2,SRA1,SRA2,SRA3,SBCL,PMN,DELT1,DELT2,DELT3,SUPSP,INFSP,SUBSC,TMIN,TMAJ,PECM1,PECM2,PECM3,LAT,CORB
Anteroinferior,-1.79792410921473,1.12604739597971,-1.32679113158532,-1.35617977820846,23.8153500303786,-0.571184886846044,-0.661776084753035,-1.62073198230132,-1.8994727534472,-4.92619229408415,-31.3404522646393,-1.74662798820231,-1.79251586746039,-6.01833029864799,-0.712437013082947,-1.95437848145922,-1.64068862492839,0.912452858361836,2.36100193730972,2.30688124569548,-1.11959846006154,0.617222261342952,-0.119876513425236,-3.490091626763,-2.17322980570192,-2.59256430611913
Anterosuperior,-1.08590287099481,3.8367022028914,-0.82927010965088,-1.11588938746981,13.3657754088155,0.0355316430538173,-0.968555667734088,-1.66011516613711,-1.83957056069974,-4.51337859680709,-31.4690742687709,-1.69363326011888,-2.2196498415996,-10.7194416895889,-0.476589545193055,-2.16614947111832,0.943334462962823,1.0599545737376,3.53433508895204,2.10063239802735,-1.09635888049255,1.00776585301523,-1.09181827130475,-4.73888494110646,-2.95705302796262,-3.47463281179464
Posteroinferior,-2.79414557198601,-0.77531207868031,-3.16406906794714,-3.28412676400031,3.56292885589558,-4.03201429667125,-3.12910111212738,-2.90947534418123,-2.77205603226661,-4.96404988241702,-17.3685842756422,-2.52214620959842,-2.63759127872235,-10.3907772311024,-1.1570649751824,-10.2690458423298,-2.18671476779628,-1.05833010978935,4.42940476036993,-5.28485989969426,-1.74093409114914,-0.167105432218471,2.12279234428844,-2.07778184446106,-0.363249987163946,-4.83633794431868
Posterosuperior,-2.60518428630136,-1.84329553559538,-3.39126282113806,-3.4930812185331,-0.361118958491961,-3.09959693543754,-2.46363881491561,-2.71488840144252,-2.81893104156748,-4.72575395915814,-14.8686980422592,-2.5587809048663,-2.36234459564165,-8.46141589817836,-1.49587181023994,-7.79531366678497,-3.209047333571,-10.9872166223993,6.79425393160632,-5.0686464288538,-2.17314848381023,0.491137819419205,0.592084156899556,-2.97554933770709,-0.577436367493627,-2.07230262768835
TotalAnterior,3.68111144728214,10.0871358714309,5.50352594873493,5.21529870372924,-2.55512994581034,3.58534559612917,3.94152261240805,4.49020747412811,4.16828050373008,4.42486492666215,2.95548941831514,4.09275627302103,2.71992632773156,6.95020493296161,1.98100236714177,5.72714466882521,5.03346093964144,4.22282926672887,2.92878696590346,0.778340792319658,3.08540346250072,1.99606536694368,1.36478649813749,1.61392009594387,-0.202869149365147,6.69459044447414
TotalInferior,-2.4492057483187,-2.275559880707,-2.78271749199058,-2.79770198679023,8.69564160520512,-3.26001485193826,-2.76572416762224,-2.72283830909649,-2.49935082937765,-4.10561918920758,-17.1994775158277,-2.27402334354293,-2.56893744742042,-8.15917682877187,-0.936387264402579,-10.6985181464648,-1.08657673698913,-0.594762709286516,3.45956592496436,-7.52411866701656,-1.3630525798571,-0.211736372871648,2.2618702308155,-1.74362781904423,-1.08276499364041,-4.48102935883037
TotalPosterior,-1.43836693112866,-0.294986882298131,-0.601073584013223,-0.645074622379789,-3.00949043814788,-2.52677385875536,-1.09940561082782,-0.755495028297235,-0.586421707082778,-1.3153445342687,-7.29402236986329,-0.534798405937875,-0.821927258958028,-1.48612304037242,-0.426046520330897,-5.44830004528787,1.13653280725422,-19.0114689171661,6.32775818046613,-20.4596083221029,0.377845751301938,4.1732601791884,3.15396889983408,1.56182573459435,8.6684928562745,-6.84558751386741
TotalSuperior,-2.06471261399843,1.6829377270205,-2.68195426041304,-2.96683326746457,-1.30731473124708,-2.77724303506401,-2.59864356569085,-2.54510529096489,-2.53882073635655,-5.10408074621866,-18.2564129635583,-2.29121848222426,-2.38334334596441,-8.21350331581494,-1.32096872556864,-7.13828772897467,-1.08354212139399,-9.19300061281747,6.93706572330431,-5.49166952872582,-1.86104506021449,0.199921124337645,0.954804616838762,-2.97669490530454,-3.66769686554081,-1.76317890497832
