Row	Abduction	Flexion	ExtRot0	IntRot0	ExtRot45	IntRot45	ExtRot90	IntRot90
None	0.000713919999995483	-0.0777889700000003	0.0292423399999961	-0.0130270100000018	0.0742264200000022	-0.00852783999999929	0.0417349100000024	-0.0550694400000005
Anterosuperior	-0.0647606499999966	-0.0545053499999995	0.0189681000000022	-0.0278863700000045	0.0631423399999989	-0.0644625699999963	0.03826672000001	-0.0229976099999973
Anteroinferior	0.0598057700000112	0.0366534900000062	0.0571907100000004	-0.0278863700000045	0.0201129499999979	-0.0719570400000009	0.0694080100000036	-0.0364915700000026
TotalAnterior	-0.0549072600000073	0.0195410099999975	0.0274378500000019	-0.078008319999995	0.0561242600000043	-0.0663481299999944	0.0367589299999906	-0.0186314400000001
Posterosuperior	-0.0776509299999901	-0.0879247900000024	0.0652934800000011	-0.0733444699999986	0.0740853700000059	-0.063309610000001	0.0606166700000017	-0.0106903000000003
Posteroinferior	0.0522829500000057	-0.0563087999999965	0.055679529999999	-0.0641141099999984	0.077061889999996	-0.00575257999999934	0.0562969899999928	-0.00668732000000105
TotalPosterior	0.0432482500000049	0.00439817999999548	0.0267354500000039	-0.0585960000000014	0.0492419400000017	-0.0257974500000007	0.0524036299999864	-0.00201208000000008
TotalSuperior	-0.0534592399999951	-0.0400745599999937	-0.00337451000000044	-0.0249497100000013	0.022167109999998	-0.0159378100000005	0.0587892799999992	-0.0160656400000008
TotalInferior	0.0208871200000047	0.0208778700000067	0.0571905699999959	-0.00860518000000354	0.0556568499999912	-0.0186486299999977	0.0700938399999984	-0.0111294399999999
