Row	Abduction	Flexion	ExtRot0	IntRot0	ExtRot45	IntRot45	ExtRot90	IntRot90
None	0.000780240437153533	-0.0908749649532714	-0.0547609363295808	-0.029208542600901	-0.071098103448278	-0.0218662564102546	-0.0313796315789492	-0.178796883116885
Anterosuperior	-0.0721165367483259	-0.0759127437325898	-0.081408154506447	-0.0632343990929807	-0.0735924708624695	-0.177094972527462	-0.030885165456021	-0.0854929739776853
Anteroinferior	0.0829483633842042	0.0519907659574556	-0.174361920731709	-0.0632343990929807	-0.0290230158730129	-0.199326980609421	-0.0795051660939331	-0.157972164502176
TotalAnterior	-0.0742994046008218	0.0294736199094985	-0.128816197183107	-0.18226242990653	-0.0833941456166482	-0.187955042492902	-0.0426932984901169	-0.087062803738318
Posterosuperior	-0.0945809135200854	-0.114485403645836	-0.133524498977507	-0.257349017543855	-0.0716492940038742	-0.223708869257954	-0.0463430198776771	-0.0388738181818191
Posteroinferior	0.0653536875000071	-0.0787535664335615	-0.112257116935482	-0.180095814606737	-0.0740979711538423	-0.0268812149532679	-0.0429420213577367	-0.0649254368932141
TotalPosterior	0.0564598563968732	0.0066138045112714	-0.0544510183299468	-0.253662337662344	-0.0456789795918383	-0.218622457627124	-0.040466123552113	-0.0205314285714294
TotalSuperior	-0.0593991555555501	-0.0586743191800786	0.0189579213483171	-0.0860334827586253	-0.0269345200486003	-0.0573302517985629	-0.0508998095238088	-0.0653074796747999
TotalInferior	0.0327384326018882	0.031729285714296	-0.174361493902427	-0.0229471466666761	-0.0746070375335003	-0.0971282812499882	-0.0802907674684976	-0.278235999999998
