modelName,perfTime
None,0.700750708422415
Anteroinferior,0.653367770243731
Anterosuperior,0.664349568940615
Posteroinferior,0.657509393051551
Posterosuperior,0.67377706828668
TotalAnterior,0.648270781670589
TotalInferior,0.656700994865905
TotalPosterior,0.655506988966323
TotalSuperior,0.656272428729457
