modelName,LVS,TRP1,TRP2,TRP3,TRP4,RMN,RMJ1,RMJ2,SRA1,SRA2,SRA3,SBCL,PMN,DELT1,DELT2,DELT3,SUPSP,INFSP,SUBSC,TMIN,TMAJ,PECM1,PECM2,PECM3,LAT,CORB
Anteroinferior,-0.242329822116575,4.11488963867895,-0.309299010734189,-0.322734201749738,24.7181469132296,-0.646633037970813,-0.295444525814606,-0.184322845860722,-0.182537415078406,0.591987461336541,18.6393839907872,-0.207946991792544,-0.134021080463564,29.2607425283293,1.87609575020788,-0.0172364098728095,3.22378022900874,1.70810163627183,1.5841812094323,-2.92601533433681,-0.05982559366829,2.42397558868201,-0.271642286774475,-0.463030051944107,-4.23618732658475,-1.35950911927319
Anterosuperior,-0.35765158070671,4.38059671924731,-0.405317761383115,-0.429880426706114,23.264322709416,-0.966094193824669,-0.431252570386348,-0.259951767933021,-0.24719642796471,0.774674219246242,20.5147848190017,-0.287222314298421,-0.192450427661212,27.2910593668676,1.3064885604471,-0.0227910127530641,1.76219967681414,1.83988057246091,1.30442960222081,-3.50071424853425,-0.0833364698622939,2.19930653855936,-0.326878055357113,-0.604915913172522,-5.30916357146145,-1.93744047371378
Posteroinferior,-0.216749532164545,3.23036187954258,-0.209026600598618,-0.251382325042137,13.7714537402586,-0.585095929790827,-0.265074268891351,-0.16248636834225,-0.157605147588572,0.416686557680987,12.0742921528283,-0.181453788068452,-0.118996751171096,25.9666801207566,-0.841770269217092,-0.0149921943552887,5.1098095458176,-9.31043518389682,3.97479236207426,-7.29915289295025,-0.0530516522642936,8.38138964674682,-0.574238093710927,-0.523423614190727,-3.97820784873407,-2.33139153331695
Posterosuperior,-0.301671257974307,2.60405274959584,-0.287122813421841,-0.326635147990809,3.20072128216586,-0.849234868598396,-0.364970826358424,-0.20318826089346,-0.16261498627752,0.413176827679832,8.87738768665614,-0.214091181159826,-0.147210590590222,19.6913217395175,-1.50132645110475,-0.0169873246327821,5.37587068877384,-12.5206735524973,7.64562638320509,-10.3554146278277,-0.0637833868075056,13.4263365189663,-0.546856680266266,-0.631213889354479,-5.69774905605032,-4.57476122163375
TotalAnterior,-0.193218718215099,4.80337879047783,-0.0127740231989405,-0.0702259818240805,26.25726204741,-0.530341234288711,-0.224252830548749,-0.122393243672637,-0.097197700945492,0.585301003041523,17.4714511275827,-0.124036873124516,-0.100684059474591,29.9681421291723,2.09729627703815,-0.0129953925468004,3.5090926799561,0.784546849751743,1.92549742687948,-3.52371864236794,-0.0419526516418648,2.78943572849728,-0.254604127961222,-0.394232749322533,-3.2012890553214,-0.904678655738288
TotalInferior,-0.156218035588029,3.6601411774943,-0.199673765292576,-0.226722447713725,18.4738151371554,-0.413367371903869,-0.192039325296204,-0.12212990040594,-0.123117496482579,0.447388933589165,15.7357244007991,-0.138672557744658,-0.0850311057821347,27.9848253892411,1.4982410897587,-0.0112257179159022,5.43103853561035,-4.82058724883258,2.01631628093328,-5.27694562640713,-0.0396619139665834,7.32437674098581,-0.416097232913856,-0.334144195673491,-2.84128818488215,-2.03121018763137
TotalPosterior,-0.171141515662143,3.42825397249127,-0.142250206873416,-0.154414160512337,22.7184217629818,-0.455474247003686,-0.203498978297327,-0.124385041951738,-0.120419808104183,0.719682522518795,16.1304225730846,-0.140994824119807,-0.0925531343184604,22.4686883920089,-0.192405308623228,-0.0119787712741683,6.24840865040294,-3.14899762670187,2.67585123099928,-5.66600616643103,-0.0421378875038806,7.65304408076858,-0.825436677720713,-0.501223489363996,-3.23348621066693,-2.73042275961488
TotalSuperior,-0.210983493403857,1.50776196024875,-0.262784956894204,-0.210994572774416,16.7775932305237,-0.560663500471745,-0.233928922569225,-0.133750310952775,-0.126353724438948,0.487990378664298,11.8265619195908,-0.150904898765735,-0.11183996224575,22.533237083815,0.261223989747353,-0.0140941893168207,6.2986373442846,-7.37029681863442,6.74888143875687,-7.07016849244424,-0.0477365041944453,9.46916945093124,-0.560031776109705,-0.478587091645504,-2.88322375025661,-3.66260023831902
