modelName,LVS,TRP1,TRP2,TRP3,TRP4,RMN,RMJ1,RMJ2,SRA1,SRA2,SRA3,SBCL,PMN,DELT1,DELT2,DELT3,SUPSP,INFSP,SUBSC,TMIN,TMAJ,PECM1,PECM2,PECM3,LAT,CORB
Anteroinferior,-73.3829343429553,21.8248757647394,-21.4993450608251,-22.8722121725727,12.2318502238171,-87.7915081555488,-76.7380634531764,-67.0654791952603,-65.3835621064703,15.4093654736629,22.8290520429986,-69.1041662960818,-60.466612414521,33.634304355213,69.032859356442,-16.7270154667436,14.5523846930063,10.0030619216078,22.2684721437462,-36.1778856089747,-40.7450870550534,30.114629445703,-19.7791891746877,-57.2811941235089,-76.2807956595287,-10.2511824709887
Anterosuperior,-71.5515120071232,15.3496090411268,-18.6128462959471,-20.1271047412447,7.60566365032192,-86.65318862853,-74.0009066731982,-62.4860535765545,-58.4964254592162,13.3217661911902,16.5994517870821,-63.0580045285259,-57.3630005665807,20.7246859262837,31.7597394248636,-14.6118675298445,5.25526127991137,7.11835001240526,12.1136958601108,-28.5952371168346,-37.4967639971033,18.0511761269386,-15.7241554445964,-49.4388488585497,-63.159199954228,-9.65140773916217
Posteroinferior,-71.6229613315956,18.6960843755902,-15.8545584439766,-19.4403380215531,7.43638604943963,-86.6817341455966,-75.1291290773247,-64.5123246199663,-61.6017391722611,11.8355278657069,16.1370408045698,-65.7996408497444,-58.5846072042022,32.5701253091723,-33.7987267272853,-15.8760604449001,25.169775796169,-59.4970076676553,60.9685552974629,-98.4792967538372,-39.4269372636208,113.624296540758,-45.62564321616,-70.658122026422,-78.1687958764138,-19.1828419372351
Posterosuperior,-66.1319730732516,9.99845051084843,-14.4478670196847,-16.7577393173604,1.14660396347416,-83.4664174258929,-68.6250026553846,-53.5189782769574,-42.1664057655368,7.78569775310829,7.87101690135171,-51.5038510723976,-48.08071464981,16.385560843999,-39.9912827435144,-11.9339981908069,17.5673756718367,-53.080655407917,77.8015000455414,-92.6879787743036,-31.4474289585643,120.752504091336,-28.8253084847612,-56.5286698518419,-74.2732984635961,-24.971786069714
TotalAnterior,-69.7178407890443,30.3561678563269,-1.05798843631591,-5.93017513993989,15.4821833065001,-85.793924841649,-69.403175603047,-53.0620263343747,-41.4838633397124,18.1534025057265,25.4971607337209,-49.1144087602678,-54.1264772154384,41.0453013033986,91.9532682612713,-15.0268367906678,18.8742672100542,5.474502426736,32.2503941654867,-51.9127850453865,-34.0450651971977,41.2925936385999,-22.0893567025118,-58.1115024517064,-68.6865129515855,-8.1281686142016
TotalInferior,-70.9860594887888,29.1303103484538,-20.8267446757313,-24.1107870096892,13.7178650127451,-84.2140394896895,-74.8477492675504,-66.6799942928851,-66.1744199281013,17.4747580360766,28.9198975120806,-69.1505759605829,-57.5670581760797,48.2695660700208,82.7249002818921,-16.3470524715567,36.787926466186,-42.3616514213419,42.5302471152615,-97.9045529670898,-40.5336382593389,136.544321180849,-45.4631601366023,-62.0283875615519,-76.7730915200244,-22.9826652327507
TotalPosterior,-70.7519329296237,24.8234020462087,-13.4987741416274,-14.9398084299165,15.3479059202201,-84.4215207979556,-72.1592226296707,-61.7849567484324,-58.8856315203275,25.5745457488182,26.9709840843862,-63.9660428791106,-57.0070252694426,35.2589644826385,-9.66523990144586,-15.870062721548,38.5063974670956,-25.1759754777227,51.3502133746818,-95.6397321908771,-39.1792138599709,129.801054807159,-82.0520798507468,-84.6504019842598,-79.4887735233325,-28.1071272194022
TotalSuperior,-68.526422491805,8.57724352516529,-19.5915397595181,-16.0382077073446,8.904863701911,-81.642872099765,-65.1688681949653,-52.1958573566692,-48.5429426210168,13.6240076006011,15.5358923403072,-53.786873220719,-54.1203885091581,27.7806282862829,10.30944512251,-14.6701014328738,30.4955670561013,-46.2940948385932,101.751010779903,-93.7600256538569,-34.8706638446355,126.17768073696,-43.7366128266306,-63.5016829263616,-55.6851988458796,-29.6212054617769
